source_filename,product_slug,detected_product_name,assigned_role,raw_uploaded_url,retouched_uploaded_url,retouch_status,quality_notes,published,needs_review
微信图片_20260723201959_285_109.jpg,phoenix-pattern-glass-cup,Tengwang Pavilion Cup / Package,gallery-01,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/phoenix-pattern-glass-cup/20260723/phoenix-pattern-glass-cup-20260723-gallery-01.webp,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/phoenix-pattern-glass-cup/ai-retouched-2026-07-25-v3/phoenix-pattern-glass-cup-ai-retouched-2026-07-25-v3-001-gallery-01.webp,AI_RETOUCHED,"AI cutout, white background, soft shadow, product retained.",true,false
微信图片_20260723202003_286_109.jpg,phoenix-pattern-glass-cup,Tengwang Pavilion Cup / Package,gallery-02,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/phoenix-pattern-glass-cup/20260723/phoenix-pattern-glass-cup-20260723-gallery-02.webp,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/phoenix-pattern-glass-cup/ai-retouched-2026-07-25-v3/phoenix-pattern-glass-cup-ai-retouched-2026-07-25-v3-002-gallery-02.webp,AI_RETOUCHED,"AI cutout, white background, soft shadow, product retained.",true,false
微信图片_20260723202005_287_109.jpg,phoenix-pattern-glass-cup,Tengwang Pavilion Cup / Package,hero,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/phoenix-pattern-glass-cup/20260723/phoenix-pattern-glass-cup-20260723-hero.webp,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/phoenix-pattern-glass-cup/ai-retouched-2026-07-25-v3/phoenix-pattern-glass-cup-ai-retouched-2026-07-25-v3-003-hero.webp,AI_RETOUCHED,"AI cutout, white background, soft shadow, product retained.",true,false
微信图片_20260723202007_288_109.jpg,baoji-bronze-miniature-gift,Baoji Bronze Miniature Gift,gallery-01,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/baoji-bronze-miniature-gift/20260723/baoji-bronze-miniature-gift-20260723-gallery-01.webp,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/baoji-bronze-miniature-gift/ai-retouched-2026-07-25-v3/baoji-bronze-miniature-gift-ai-retouched-2026-07-25-v3-004-gallery-01.webp,AI_RETOUCHED,"AI cutout, white background, soft shadow, product retained.",true,false
微信图片_20260723202008_289_109.jpg,baoji-bronze-miniature-gift,Baoji Bronze Miniature Gift,gallery-02,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/baoji-bronze-miniature-gift/20260723/baoji-bronze-miniature-gift-20260723-gallery-02.webp,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/baoji-bronze-miniature-gift/ai-retouched-2026-07-25-v3/baoji-bronze-miniature-gift-ai-retouched-2026-07-25-v3-005-gallery-02.webp,AI_RETOUCHED,"AI cutout, white background, soft shadow, product retained.",true,false
微信图片_20260723202011_290_109.jpg,baoji-bronze-miniature-gift,Baoji Bronze Miniature Gift,hero,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/baoji-bronze-miniature-gift/20260723/baoji-bronze-miniature-gift-20260723-hero.webp,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/baoji-bronze-miniature-gift/ai-retouched-2026-07-25-v3/baoji-bronze-miniature-gift-ai-retouched-2026-07-25-v3-006-hero.webp,AI_RETOUCHED,"AI cutout, white background, soft shadow, product retained.",true,false
微信图片_20260723202017_293_109.jpg,turquoise-animal-3d-eraser,Turquoise / jade animal 3D eraser,hero,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-hero.webp,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/ai-retouched-2026-07-25-v3/turquoise-animal-3d-eraser-ai-retouched-2026-07-25-v3-007-hero.webp,AI_RETOUCHED,"AI cutout, white background, soft shadow, product retained.",true,false
微信图片_20260723202019_294_109.jpg,turquoise-animal-3d-eraser,Turquoise / jade animal 3D eraser,gallery-02,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-gallery-02.webp,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/ai-retouched-2026-07-25-v3/turquoise-animal-3d-eraser-ai-retouched-2026-07-25-v3-008-gallery-02.webp,AI_RETOUCHED,"AI cutout, white background, soft shadow, product retained.",true,false
微信图片_20260723202025_297_109.jpg,turquoise-animal-3d-eraser,Turquoise / jade animal 3D eraser,gallery-03,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-gallery-03.webp,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/ai-retouched-2026-07-25-v3/turquoise-animal-3d-eraser-ai-retouched-2026-07-25-v3-009-gallery-03.webp,AI_RETOUCHED,"AI cutout, white background, soft shadow, product retained.",true,false
微信图片_20260723202013_291_109.jpg,fu-hao-owl-zun-coin-bank,Shi Fa You / pink bronze package,gallery-01,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/fu-hao-owl-zun-coin-bank/20260723/fu-hao-owl-zun-coin-bank-20260723-gallery-01.webp,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/fu-hao-owl-zun-coin-bank/ai-retouched-2026-07-25-v3/fu-hao-owl-zun-coin-bank-ai-retouched-2026-07-25-v3-010-gallery-01.webp,AI_RETOUCHED,"AI cutout, white background, soft shadow, product retained.",true,false
